"sample_id","extraction_id","quant","plate","well"
"APCL12_082","E1747",158.716,"E1687-E1782","E8"
"APCL12_128","E1793",25.197,"E1783-E1878","C2"
"APCL12_255","E2299",72.61,"E2258-E2353","B6"
"APCL13_208","E0331",12.82,"E0247-E0342","E11"
"APCL13_271","E0394",235.321,"E0343-E0438","D7"
"APCL13_272","E0395",104.474,"E0343-E0438","E7"
"APCL13_273","E0396",398.409,"E0343-E0438","F7"
"APCL13_275","E0398",250.001,"E0343-E0438","H7"
"APCL13_276","E0399",172.426,"E0343-E0438","A8"
"APCL13_281","E0404",18.034,"E0343-E0438","F8"
"APCL13_299","E0422",47.692,"E0343-E0438","H10"
"APCL13_320","E0443",11.633,"E0439-E0534","E1"
"APCL13_323","E0446",31.673,"E0439-E0534","H1"
"APCL13_336","E0459",18.472,"E0439-E0534","E3"
"APCL13_337","E0460",31.276,"E0439-E0534","F3"
"APCL13_345","E0468",13.849,"E0439-E0534","F4"
"APCL13_361","E0484",46.879,"E0439-E0534","F6"
"APCL13_363","E0486",88.94,"E0439-E0534","H6"
"APCL13_371","E0494",23.288,"E0439-E0534","H7"
"APCL13_378","E0501",22.719,"E0439-E0534","G8"
"APCL13_386","E0509",25.789,"E0439-E0534","G9"
"APCL13_394","E0517",107.087,"E0439-E0534","G10"
"APCL13_396","E0519",23.384,"E0439-E0534","A11"
"APCL13_399","E0522",33.174,"E0439-E0534","D11"
"APCL13_403","E0526",28.632,"E0439-E0534","H11"
"APCL13_410","E0533",28.422,"E0439-E0534","G12"
"APCL14_444","E1477",17.857,"E1399-E1494","G10"
"APCL14_490","E1331",18.516,"E1303-E1398","E4"
"APCL14_495","E1334",47.977,"E1303-E1398","H4"
"APCL14_498","E1337",63.461,"E1303-E1398","C5"
"APCL14_502","E1341",38.23,"E1303-E1398","G5"
"APCL14_509","E1348",65.995,"E1303-E1398","F6"
"APCL14_512","E1351",63.349,"E1303-E1398","A7"
"APCL14_516","E1355",68.455,"E1303-E1398","E7"
"APCL14_517","E1356",61.659,"E1303-E1398","F7"
"APCL14_518","E1357",47.101,"E1303-E1398","G7"
"APCL14_529","E1368",95.703,"E1303-E1398","B9"
