,digest_id,round,dest_loc,dest_well,water_loc,water_well,tip_loc,quant,source_well,source_plate,uL_in,water,DNA,pool,source_loc
1,D3580,6,P10,A1,P11,A1,P8,47.037,A7,D3532-D3627,1.1,21.1,50,pool_50_11,P5
2,D3581,6,P10,B1,P11,A1,P8,19.962,B7,D3532-D3627,2.5,19.7,50,pool_50_11,P5
3,D3582,6,P10,C1,P11,A1,P8,43.991,C7,D3532-D3627,1.1,21.1,50,pool_50_11,P5
4,D3583,6,P10,D1,P11,A1,P8,23.909,D7,D3532-D3627,2.1,20.1,50,pool_50_11,P5
5,D3584,6,P10,E1,P11,A1,P8,37.408,E7,D3532-D3627,1.3,20.9,50,pool_50_11,P5
6,D3585,6,P10,F1,P11,A1,P8,45.474,F7,D3532-D3627,1.1,21.1,50,pool_50_11,P5
7,D3586,6,P10,G1,P11,A1,P8,41.584,G7,D3532-D3627,1.2,21,50,pool_50_11,P5
8,D3587,6,P10,H1,P11,A1,P8,16.323,H7,D3532-D3627,3.1,19.1,50,pool_50_11,P5
9,D3588,6,P10,A2,P11,A1,P8,32.156,A8,D3532-D3627,1.6,20.6,50,pool_50_11,P5
10,D3589,6,P10,B2,P11,A1,P8,27.352,B8,D3532-D3627,1.8,20.4,50,pool_50_11,P5
11,D3590,6,P10,C2,P11,A1,P8,23.932,C8,D3532-D3627,2.1,20.1,50,pool_50_11,P5
12,D3591,6,P10,D2,P11,A1,P8,16.575,D8,D3532-D3627,3,19.2,50,pool_50_11,P5
13,D3593,6,P10,E2,P11,A1,P8,18.533,F8,D3532-D3627,2.7,19.5,50,pool_50_11,P5
14,D3594,6,P10,F2,P11,A1,P8,21.529,G8,D3532-D3627,2.3,19.9,50,pool_50_11,P5
15,D3595,6,P10,G2,P11,A1,P8,25.905,H8,D3532-D3627,1.9,20.3,50,pool_50_11,P5
16,D3596,6,P10,H2,P11,A1,P8,69.927,A9,D3532-D3627,0.7,21.5,50,pool_50_11,P5
17,D3597,6,P10,A3,P11,A1,P8,59.35,B9,D3532-D3627,0.8,21.4,50,pool_50_11,P5
18,D3598,6,P10,B3,P11,A1,P8,13.327,C9,D3532-D3627,3.8,18.4,50,pool_50_11,P5
19,D3599,6,P10,C3,P11,A1,P8,55.002,D9,D3532-D3627,0.9,21.3,50,pool_50_11,P5
20,D3600,6,P10,D3,P11,A1,P8,33.476,E9,D3532-D3627,1.5,20.7,50,pool_50_11,P5
21,D3601,6,P10,E3,P11,A1,P8,60.574,F9,D3532-D3627,0.8,21.4,50,pool_50_11,P5
22,D3602,6,P10,F3,P11,A1,P8,47.65,G9,D3532-D3627,1,21.2,50,pool_50_11,P5
23,D3603,6,P10,G3,P11,A1,P8,22.852,H9,D3532-D3627,2.2,20,50,pool_50_11,P5
24,D3604,6,P10,H3,P11,A1,P8,24.413,A10,D3532-D3627,2,20.2,50,pool_50_11,P5
25,D3605,6,P10,A4,P11,A1,P8,36.713,B10,D3532-D3627,1.4,20.8,50,pool_50_11,P5
26,D3606,6,P10,B4,P11,A1,P8,10.188,C10,D3532-D3627,4.9,17.3,50,pool_50_11,P5
27,D3607,6,P10,C4,P11,A1,P8,19.804,D10,D3532-D3627,2.5,19.7,50,pool_50_11,P5
28,D3608,6,P10,D4,P11,A1,P8,17,E10,D3532-D3627,2.9,19.3,50,pool_50_11,P5
29,D3609,6,P10,E4,P11,A1,P8,11.649,F10,D3532-D3627,4.3,17.9,50,pool_50_11,P5
30,D3610,6,P10,F4,P11,A1,P8,26.269,G10,D3532-D3627,1.9,20.3,50,pool_50_11,P5
31,D3611,6,P10,G4,P11,A1,P8,13.571,H10,D3532-D3627,3.7,18.5,50,pool_50_11,P5
32,D3612,6,P10,H4,P11,A1,P8,50.413,A11,D3532-D3627,1,21.2,50,pool_50_11,P5
33,D3613,6,P10,A5,P11,A1,P8,60.053,B11,D3532-D3627,0.8,21.4,50,pool_50_11,P5
34,D3614,6,P10,B5,P11,A1,P8,31.595,C11,D3532-D3627,1.6,20.6,50,pool_50_11,P5
35,D3615,6,P10,C5,P11,A1,P8,42.504,D11,D3532-D3627,1.2,21,50,pool_50_11,P5
36,D3616,6,P10,D5,P11,A1,P8,17.235,E11,D3532-D3627,2.9,19.3,50,pool_50_11,P5
37,D3617,6,P10,E5,P11,A1,P8,38.376,F11,D3532-D3627,1.3,20.9,50,pool_50_11,P5
38,D3618,6,P10,F5,P11,A1,P8,6.783,G11,D3532-D3627,7.4,14.8,50,pool_50_11,P5
39,D3619,6,P10,G5,P11,A1,P8,5.728,H11,D3532-D3627,8.7,13.5,50,pool_50_11,P5
40,D3620,6,P10,H5,P11,A1,P8,22.996,A12,D3532-D3627,2.2,20,50,pool_50_11,P5
41,D3621,6,P10,A6,P11,A1,P8,15.349,B12,D3532-D3627,3.3,18.9,50,pool_50_11,P5
42,D3622,6,P10,B6,P11,A1,P8,4.366,C12,D3532-D3627,11.5,10.7,50,pool_50_11,P5
43,D3623,6,P10,C6,P11,A1,P8,17.768,D12,D3532-D3627,2.8,19.4,50,pool_50_11,P5
44,D3624,6,P10,D6,P11,A1,P8,15.176,E12,D3532-D3627,3.3,18.9,50,pool_50_11,P5
45,D3625,6,P10,E6,P11,A1,P8,12.076,F12,D3532-D3627,4.1,18.1,50,pool_50_11,P5
46,D3626,6,P10,F6,P11,A1,P8,2.496,G12,D3532-D3627,20,2.2,50,pool_50_11,P5
47,D3627,6,P10,G6,P11,A1,P8,26.381,H12,D3532-D3627,1.9,20.3,50,pool_50_11,P5
48,D4589,6,P10,H6,P11,A1,P8,10.314,B1,D4588-D4613,4.8,17.4,50,pool_50_11,P6
49,D4335,6,P10,A7,P11,A1,P8,46.057,D5,D4300-D4395,1.1,21.1,50,pool_50_12,P7
50,D4334,6,P10,B7,P11,A1,P8,25.519,C5,D4300-D4395,2,20.2,50,pool_50_12,P7
